Horodateur	Consommez-vous de l'alcool ?	Quel type d'alcool ?	A quelle fréquence ?	Quelle est votre tranche d'âge ?	A quelle catégorie de population pensez-vous appartenir ?	Possédez-vous une cave à vin ?	Combien de bouteilles peut-elle accueillir ?	Avez-vous déjà perdu ou oublié l'existence d'une de vos bouteilles ?	Utilisez-vous une application de gestion pour votre cave ?	Utilisez-vous un cahier pour gérer votre cave ?	Pensez-vous que l'utilisation d'une application gérant votre cave de manière automatique pourrait vous aider ?	Aimeriez-vous pouvoir retrouver une bouteille sans avoir à fouiller dans toute votre cave ?	Avez-vous de bonnes connaissances en vin ?	Selon vous quel est votre niveau en œnologie ?	Aimeriez-vous avoir des recommandations de vins en fonction de vous, vos goûts, vos habitudes etc ?	Aimeriez-vous avoir des recommandations de vins en fonctions des plats que vous allez servir lors d'un repas ?	Aimeriez-vous en apprendre d'avantage sur les vins que vous consommez ?	Sur quel type d'appareil souhaiteriez-vous utiliser cette application ?	Pour avoir cette application quel prix seriez-vous prêt à dépenser chaque mois pour cette application ?	Une version gratuite avec des options supplémentaires en version payante vous conviendrait-elle ?	Auriez-vous des remarques à ajouter ?
15	15/12/2021 12:24:48	Oui	Vin, Spiritueux, Alcool fort, Liqueur, Cidre	3	- 18 ans (que faîtes-vous ici ?)	Etudiant	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	15/12/2021 12:41:04	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
17	15/12/2021 12:43:53	Oui	Vin	1	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Oui	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit, - de 5€	Oui	NaN
18	15/12/2021 12:54:42	Non	Aucun	0	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Oui	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
19	15/12/2021 12:54:44	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Oui	Oui	Oui	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €	Oui	NaN
20	15/12/2021 12:55:24	Oui	Vin, Bière, Alcool fort, Cidre	3	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
21	15/12/2021 12:58:38	Oui	Vin, Spiritueux, Alcool fort, Liqueur, Cidre	3	18 - 25 ans	Etudiant	Oui	50.0	Oui	Non	Non	Oui	Oui	Oui	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €, 10 - 15 €, + 15 €	Oui	NaN
22	15/12/2021 13:12:56	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
23	15/12/2021 13:19:45	Oui	Vin, Vin effervescent (Champagne, Clairette de...	4	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Oui	Non	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
24	15/12/2021 13:27:51	Oui	Alcool fort	1	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Oui	Oui	Non	2.0	Non	Oui	Non	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €	Oui	NaN
25	15/12/2021 13:51:34	Oui	Vin, Vin effervescent (Champagne, Clairette de...	5	- 18 ans (que faîtes-vous ici ?)	Etudiant	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26	15/12/2021 13:54:01	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	- 18 ans (que faîtes-vous ici ?)	Etudiant	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27	15/12/2021 13:54:45	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	- 18 ans (que faîtes-vous ici ?)	Ne souhaites pas préciser	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28	15/12/2021 13:55:04	Oui	Vin, Vin effervescent (Champagne, Clairette de...	7	- 18 ans (que faîtes-vous ici ?)	Agent de maîtrise	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29	15/12/2021 13:56:46	Non	Aucun	0	- 18 ans (que faîtes-vous ici ?)	Etudiant	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30	15/12/2021 14:01:14	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	18 - 25 ans	Etudiant	Oui	1000.0	Oui	Non	Non	Oui	Oui	Oui	6.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
31	15/12/2021 14:04:42	Oui	Vin	4	45 - 55 ans	Dirigeant	Oui	36.0	Non	Non	Non	Oui	Oui	Oui	6.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
32	15/12/2021 14:08:37	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	30 - 45 ans	Cadre	Oui	25.0	Non	Non	Non	Oui	Oui	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	NaN
33	15/12/2021 14:08:45	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Non	Non	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
34	15/12/2021 14:11:31	Oui	Bière, Liqueur, Cidre	2	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit, - de 5€	Oui	NaN
35	15/12/2021 14:21:52	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Oui	Non	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit, - de 5€	Oui	NaN
36	15/12/2021 14:25:54	Oui	Vin, Vin effervescent (Champagne, Clairette de...	4	- 18 ans (que faîtes-vous ici ?)	Etudiant	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37	15/12/2021 14:40:05	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	- 18 ans (que faîtes-vous ici ?)	Ne souhaites pas préciser	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38	15/12/2021 14:41:22	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Fonctionnaire	Oui	48.0	Non	Non	Non	Non	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
39	15/12/2021 14:58:03	Oui	Alcool fort, Liqueur	3	18 - 25 ans	Etudiant	Oui	20.0	Oui	Oui	Non	Oui	Oui	Non	5.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit, - de 5€	Oui	NaN
40	15/12/2021 15:23:07	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Oui	Non	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	Projet intéressant. Il faudrait que sur cette ...
41	15/12/2021 15:23:44	Oui	Bière, Spiritueux, Alcool fort	2	18 - 25 ans	Etudiant	Non	0.0	Non	Non	Non	Non	Oui	Non	1.0	Oui	Non	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit, - de 5€	Oui	NaN
42	15/12/2021 15:57:36	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	- 18 ans (que faîtes-vous ici ?)	Etudiant	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43	15/12/2021 16:57:53	Non	Aucun	0	- 18 ans (que faîtes-vous ici ?)	Etudiant	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44	15/12/2021 17:03:30	Non	Aucun	0	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	0.0	Non	Non	Non	Téléphone (iPhone ou Android indifféremment)	Gratuit	Non	NaN
45	15/12/2021 17:39:55	Oui	Vin, Vin effervescent (Champagne, Clairette de...	4	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Oui	Non	Oui	5.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
46	15/12/2021 18:12:17	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Oui	Non	2.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
47	15/12/2021 18:15:56	Oui	Vin, Vin effervescent (Champagne, Clairette de...	0	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
48	15/12/2021 19:35:50	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	30 - 45 ans	Dirigeant	Non	NaN	Oui	Non	Non	Non	Non	Oui	6.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit, - de 5€	Oui	NaN
49	15/12/2021 19:37:08	Oui	Vin, Bière	7	45 - 55 ans	Auto-entrepreneur	Oui	36.0	Non	Non	Non	Non	Non	Oui	6.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
50	15/12/2021 19:43:05	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	45 - 55 ans	Cadre	Oui	200.0	Oui	Oui	Non	Oui	Oui	Oui	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	- de 5€	Oui	NaN
51	15/12/2021 19:55:25	Oui	Vin, Vin effervescent (Champagne, Clairette de...	5	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	Bouteille offerte ?
52	15/12/2021 20:19:15	Oui	Vin, Vin effervescent (Champagne, Clairette de...	7	18 - 25 ans	Ne souhaites pas préciser	Oui	100.0	Oui	Non	Non	Oui	Oui	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	- de 5€	Oui	NaN
53	15/12/2021 22:20:31	Non	Aucun	0	18 - 25 ans	Etudiant	Oui	32.0	Non	Non	Non	Oui	Non	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
54	15/12/2021 23:08:14	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	+ 65 ans	Retraité	Non	NaN	Oui	Non	Non	Non	Oui	Non	3.0	Oui	Oui	Oui	Ordinateur	Gratuit	Oui	NaN
55	16/12/2021 06:15:39	Oui	Vin, Vin effervescent (Champagne, Clairette de...	0	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
56	16/12/2021 11:56:53	Oui	Vin effervescent (Champagne, Clairette de Die,...	1	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Non	Oui	Non	1.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Non	NaN
57	16/12/2021 13:25:00	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Non	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
58	16/12/2021 19:04:51	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	+ 65 ans	Retraité	Oui	100.0	Oui	Non	Oui	Oui	Non	Oui	9.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	NaN
59	17/12/2021 09:21:32	Oui	Vin, Vin effervescent (Champagne, Clairette de...	7	18 - 25 ans	Etudiant	Non	0.0	Oui	Non	Non	Non	Non	Oui	5.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Non	NaN
60	17/12/2021 12:32:56	Oui	Bière, Alcool fort, Cidre	1	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Oui	Non	0.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	NaN
61	17/12/2021 12:35:48	Non	Aucun	0	18 - 25 ans	²	Non	NaN	Oui	Non	Non	Non	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
62	17/12/2021 12:38:27	Oui	Bière, Alcool fort	1	18 - 25 ans	Etudiant	Non	0.0	Oui	Non	Non	Oui	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit, - de 5€	Oui	Bonne chance pour votre projet c'est une très...
63	17/12/2021 12:45:42	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Oui	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	NaN
64	17/12/2021 12:52:53	Oui	Vin, Vin effervescent (Champagne, Clairette de...	5	18 - 25 ans	Etudiant	Non	0.0	Non	Non	Non	Oui	Oui	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
65	17/12/2021 12:56:44	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	3.0	Oui	Non	Non	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
66	17/12/2021 13:17:45	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	18 - 25 ans	Etudiant	Non	50.0	Oui	Non	Non	Oui	Oui	Non	3.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €	Non	NaN
67	17/12/2021 13:46:52	Oui	Bière, Alcool fort, Cidre	2	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Oui	Non	0.0	Oui	Oui	Non	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
68	17/12/2021 15:08:30	Non	Aucun	0	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	1.0	Non	Non	Non	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
69	17/12/2021 15:16:26	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Oui	Oui	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
70	17/12/2021 16:02:07	Oui	Bière, Cidre	2	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Non	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
71	17/12/2021 16:20:45	Oui	Vin, Bière, Spiritueux	3	18 - 25 ans	Ne souhaites pas préciser	Oui	10.0	Non	Non	Non	Non	Oui	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	Pas de pub svp
72	17/12/2021 17:09:49	Oui	Bière, Alcool fort, Liqueur, Cidre	2	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Non	Non	0.0	Non	Non	Non	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
73	17/12/2021 19:22:26	Oui	Vin, Vin effervescent (Champagne, Clairette de...	5	18 - 25 ans	Etudiant(e)	Non	0.0	Non	Non	Non	Oui	Oui	Non	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	emeric.delapintiere@gmail.com
74	17/12/2021 19:23:23	Oui	Vin, Vin effervescent (Champagne, Clairette de...	5	18 - 25 ans	Etudiant(e)	Non	0.0	Oui	Non	Non	Non	Non	Oui	5.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
75	17/12/2021 21:16:02	Non	Aucun	0	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Non	NaN
76	18/12/2021 05:17:08	Oui	Bière, Alcool fort, Liqueur	1	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Non	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
77	18/12/2021 15:40:14	Oui	Bière, Alcool fort	1	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Non	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
78	18/12/2021 21:00:35	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Oui	Oui	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
79	18/12/2021 21:55:06	Oui	Bière, Alcool fort, Cidre	1	18 - 25 ans	Etudiant(e)	Non	NaN	Non	Non	Non	Oui	Oui	Non	0.0	Non	Non	Non	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
80	18/12/2021 22:04:36	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	55 - 65 ans	Fonctionnaire	Oui	50.0	Oui	Non	Non	Non	Oui	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
81	19/12/2021 17:58:37	Oui	Vin, Bière, Alcool fort	7	45 - 55 ans	Dirigeant(e)	Oui	200.0	Oui	Non	Non	Non	Non	Oui	3.0	Non	Non	Non	Ordinateur	Gratuit	Non	NaN
82	19/12/2021 18:02:42	Oui	Vin, Bière, Alcool fort, Cidre	7	55 - 65 ans	Cadre	Oui	80.0	Non	Non	Non	Non	Non	Non	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
83	19/12/2021 18:05:53	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	45 - 55 ans	Ne souhaites pas préciser	Oui	75.0	Oui	Non	Non	Non	Non	Oui	3.0	Non	Non	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
84	19/12/2021 18:09:48	Oui	Vin, Bière, Cidre	0	45 - 55 ans	Cadre	Oui	400.0	Oui	Non	Non	Oui	Oui	Non	2.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
85	20/12/2021 22:58:34	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	+ 65 ans	Retraité(e)	Non	NaN	Non	Non	Non	Oui	Oui	Oui	3.0	Oui	Oui	Oui	Ordinateur	Gratuit	Oui	NaN
86	20/12/2021 22:59:31	Non	Aucun	0	25 - 30 ans	Fonctionnaire	Non	NaN	Non	Non	Non	Oui	Oui	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	5 - 10 €	Oui	NaN
87	20/12/2021 23:02:18	Oui	Vin, Bière, Alcool fort, Cidre	1	45 - 55 ans	Employé(e)	Non	0.0	Oui	Non	Non	Oui	Oui	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
88	20/12/2021 23:03:15	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	55 - 65 ans	Auto-entrepreneur / Auto-entrepreneuse	Oui	400.0	Oui	Non	Non	Oui	Oui	Oui	7.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit, - de 5€, 5 - 10 €, 10 - 15 €, + 15 €	Oui	NaN
89	20/12/2021 23:06:42	Oui	Vin, Vin effervescent (Champagne, Clairette de...	2	25 - 30 ans	Cadre	Oui	170.0	Oui	Oui	Non	Oui	Oui	Non	5.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
90	20/12/2021 23:09:28	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	30 - 45 ans	Cadre	Non	NaN	Oui	Non	Non	Non	Oui	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
91	20/12/2021 23:15:11	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	45 - 55 ans	Cadre	Oui	250.0	Oui	Non	Non	Oui	Oui	Non	1.0	Oui	Oui	Non	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
92	20/12/2021 23:16:11	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	25 - 30 ans	Cadre	Oui	150.0	Oui	Oui	Non	Non	Oui	Oui	6.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	L effort d initialisation de la cave virtuelle...
93	20/12/2021 23:26:16	Oui	Vin, Bière, Alcool fort, Cidre	3	30 - 45 ans	Cadre	Oui	24.0	Oui	Non	Non	Oui	Oui	Non	4.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
